Nom;Type;Adresse;Etoiles Google;Horaires
Microbrasserie Le Trou du diable;Microbrasserie, bistro, pub;412 Avenue Willow;4,7;"samedi 15h00-1h30 dimanche 15h00-23h00lundi 15h00-23h00mardi 15h00-23h00mercredi 15h00-1h00jeudi 15h00-1h00vendredi 15h00-1h30"
Le Radoteux;restaurant, bar, steak, fruits de mer, hamburger;610 5e rue de la Pointe;4,3;"samedi 17h00-22h00dimanche 17h00-21h00lundi Fermé mardi Fermémercredi 11h00-21h00jeudi 11h00-21h00vendredi 11h00-22h00"
Le Saint-Mo Bistro Gourmand;Bistro, microbrasserie, cocktails;902 Du St Maurice Promenade;4;"samedi 11h00-22h00 dimanche 11h00-21h00 lundi 11h00-21h00 mardi 11h00-21h00 mercredi 11h00-21h00 jeudi 11h00-21h00 vendredi 11h00-22h00"
Le Globe Steakhouse;Grillades, steakhouse, hamburger, pizzas;343 5e rue de la Pointe;3,8;"samedi 11h00-22h00 dimanche 9h00-22h00 lundi 17h00-22h00 mardi 11h00-22h00 mercredi 11h00-22h00jeudi 11h00-22h00 vendredi 11h00-22h00"
Restaurant Cité D'Angkor;;452 Avenue Willow;4,8;"samedi 16h00-22h00 dimanche 17h00-21h00 lundi Fermé mardi 11h30-14h30, 17h00-21h00 mercredi 11h30-14h30, 17h00-21h00 jeudi 11h30-14h30, 17h00-21h00 vendredi 11h30-14h30, 16h00-22h00"
Restaurant La Pointe à Bernard;francais;692 4e rue de la Pointe;5;"samedi 17h00-21h00 dimanche Fermé lundi Fermé mardi 11h30-14h00, 17h00-21h00 mercredi 11h30-14h00, 17h00-21h00 jeudi 11h30-14h00, 17h00-21h00 vendredi 11h30-14h00, 17h00-21h00"
Rôtisserie St-Hubert;;1515 Rue Trudel;4,3;"samedi 11h00-23h00 dimanche 11h00-22h00 lundi 11h00-22h00 mardi 11h00-22h00 mercredi 11h00-22h00 jeudi 11h00-23h00 vendredi 11h00-23h00"
Restaurant Dragon Thai;;1842 Avenue Saint-Marc;4,8;"samedi 17h00-21h30 dimanche 17h00-20h30 lundi Fermé mardi 8h00-20h30 mercredi 8h00-20h30 jeudi 8h00-21h30 vendredi 8h00-21h30"
Restaurant agostinos;;3353 Boulevard Royal;4,6;
Stratos Pizzeria;;1863 Avenue Saint-Marc;3,4;"samedi 7h00-0h00 dimanche 7h00-22h00 lundi 7h00-22h00 mardi 7h00-23h00 mercredi 7h00-23h00 jeudi 7h00-23h00 vendredi 0h00-2h00, 7h00-1h00"
Restaurant St-Marc Déli;;2292, av Saint-Marc;4,2;"samedi 6h00-0h00 dimanche 6h00-0h00 lundi 6h00-0h00 mardi 6h00-0h00 mercredi 6h00-0h00 jeudi 6h00-0h00 vendredi 6h00-0h00"
Restaurant Chez Carmen;;2438 Av Saint-Marc;;
Casa Grecque;;6183 Boulevard Royal;4,5;"samedi 8h00-23h00 dimanche 8h00-22h00 lundi 11h00-22h00 mardi 11h00-22h00 mercredi 11h00-22h00 jeudi 11h00-22h00 vendredi 11h00-23h00"
Pizzeria 67;;1413 Rue Frigon;3,5;
Aki Sushi Aki Thaï Shawinigan;Sushis;580, Avenue du Marché;;"samedi 12h00-20h00 dimanche 12h00-19h00 lundi 10h00-19h00 mardi 10h00-19h00 mercredi 10h00-19h00 jeudi 10h00-20h00 vendredi 10h00-20h00"
Pacini;;1100 Prom Du St Maurice, Shawinigan, QC G9N 1L8;3,6;"samedi 4h00-0h00 dimanche 6h00-22h00 lundi 6h00-22h00 mardi 6h00-22h00 mercredi 6h00-22h00 jeudi 4h00-0h00 vendredi 4h00-0h00"
Restaurant Bravo L'Original;;303 5e rue de la Pointe;4,6;
Bianky Restaurant;;444 5e rue de la Pointe;;
Restaurant Olympic Pizzeria;;879 105e Avenue;4,5;
Fusée Shawinigan;rotisserie, poulet;1583 Avenue Saint-Marc;3,2;"samedi 11h00-0h00 dimanche 11h00-23h00 lundi 11h00-23h00 mardi 11h00-23h00 mercredi 11h00-0h00 jeudi 11h00-0h00 vendredi 11h00-0h00"
